District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
6001,Aberdeen 06-1,Aberdeen Alternative Learning Center,12,17-18 Aberdeen Alternative Lea,174,64722,1078.7,No
6001,Aberdeen 06-1,C.C. Lee Elementary,5,17-18 C.C. Lee Elementary,173,59985,999.75,No
6001,Aberdeen 06-1,Central High School,1,17-18 Central High School,173,69390,1156.5,No
6001,Aberdeen 06-1,Holgate Middle School,2,17-18 Holgate Middle School,174,62766,1046.1,No
6001,Aberdeen 06-1,Lincoln Elementary,8,17-18 Lincoln Elementary,174,60315,1005.25,No
6001,Aberdeen 06-1,May Overby Elementary,9,17-18 May Overby Elementary,174,60315,1005.25,No
6001,Aberdeen 06-1,Mike Miller Elementary,7,17-18 Mike Miller Elementary,174,60315,1005.25,No
6001,Aberdeen 06-1,New Beginnings,89,17-18 New Beginnings,174,67175,1119.58333,No
6001,Aberdeen 06-1,O.M. Tiffany Elementary,11,17-18 O.M. Tiffany Elementary,174,60315,1005.25,No
6001,Aberdeen 06-1,Simmons Elementary,10,17-18 Simmons Elementary,174,60315,1005.25,No
6001,Aberdeen 06-1,Simmons Middle School,3,17-18 Simmons Middle School,174,64722,1078.7,No
58003,Agar-Blunt-Onida 58-3,Blunt Elementary,3,17-18 Blunt 4th-5th ,169,56510,941.83333,No
58003,Agar-Blunt-Onida 58-3,Blunt Elementary,3,17-18 Blunt K-3,169,56510,941.83333,No
58003,Agar-Blunt-Onida 58-3,Onida Elementary,4,17-18 Onida 4th-6th,169,62142,1035.7,No
58003,Agar-Blunt-Onida 58-3,Onida Elementary,4,17-18 Onida K-3,169,56510,941.83333,No
58003,Agar-Blunt-Onida 58-3,Sully Buttes High School,7,17-18 Sully Buttes High School,169,62142,1035.7,No
58003,Agar-Blunt-Onida 58-3,Sully Buttes Junior High,6,17-18 Sully Buttes Junior High,169,62142,1035.7,No
61001,Alcester-Hudson 61-1,Alcester-Hudson Elementary,4,17-18 Alcester-Hudson ELEM,170,62089,1034.81667,No
61001,Alcester-Hudson 61-1,Alcester-Hudson High School,1,17-18 Alcester-Hudson High Sch,170,61670,1027.83333,No
61001,Alcester-Hudson 61-1,Alcester-Hudson JH,3,17-18 Alcester-Hudson JH,170,61670,1027.83333,No
11001,Andes Central 11-1,Andes Central Elementary,2,17-18 Andes Central Elementary,167,68110,1135.16667,No
11001,Andes Central 11-1,Andes Central High School,1,17-18 Andes Central High Schoo,167,65476,1091.26667,No
11001,Andes Central 11-1,Andes Central Middle School,4,17-18 Andes Central Jr High,167,65486,1091.43333,No
11001,Andes Central 11-1,Lakeview Colony Elem,5,17-18 Lakeview Colony Elem,167,64370,1072.83333,No
11001,Andes Central 11-1,Pease Creek Colony Elementary,6,17-18 Pease Creek Colony ,143,59405,990.08333,No
38001,Arlington 38-1,Arlington Elementary,2,17-18 Arlington Elementary,166,58580,976.33333,No
38001,Arlington 38-1,Arlington Elementary,2,17-18 Kindergarten,166,58940,982.33333,No
38001,Arlington 38-1,Arlington High School,1,17-18 Arlington High School,166,61728,1028.8,No
38001,Arlington 38-1,Arlington Junior High School,3,17-18 Arlington Junior High Sc,166,61728,1028.8,No
21001,Armour 21-1,Armour Elementary,2,17-18 Armour Elementary,175,68335,1138.91667,No
21001,Armour 21-1,Armour High School,1,17-18 Armour High School,175,64010,1066.83333,No
21001,Armour 21-1,Armour Middle School,3,17-18 Armour Middle School,175,66086,1101.43333,No
4001,Avon 04-1,Avon Elementary School,2,17-18 Avon Elem,166,58785,979.75,No
4001,Avon 04-1,Avon Elementary School,2,17-18 Avon KG,163,52860,881,No
4001,Avon 04-1,Avon High School,1,17-18 Avon HS,166,64536,1075.6,No
4001,Avon 04-1,Avon Jr High School,5,17-18 Avon JH,166,64536,1075.6,No
