,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
0,6001,Aberdeen School District 06-1,"1224 3rd St S, Aberdeen, SD  57401",419.72,Brown,4502,0.019,0.9497,0.369,0.1649,"48,431 ",13.0,0.3789,21.6,219,173.8181818181818,62757.72727272727,1045.9621209090908,0.0,38637.0,57401
1,58003,Agar-Blunt-Onida School District 58-3,"500 8th St, Onida, SD  57564",1223.78,Sully,250,0.009000000000000001,0.9575,0.296,0.172,"43,267 ",17.9,0.2164,24.3,11,169.0,59326.0,988.766665,0.0,1390.0,57564
2,61001,Alcester-Hudson School District 61-1,"102 E 5th, Alcester, SD  57001",194.25,Union,309,0.006999999999999999,0.9477,0.259,0.1896,"42,273 ",8.0,0.2018,20.4,16,170.0,61809.666666666664,1030.16111,0.0,14929.0,57001
3,11001,Andes Central School District 11-1,"400 School St, Lake Andes, SD  57356",204.29,Charles Mix,316,0.071,0.9405,,0.1114,"46,041 ",13.1,0.303,,9,162.2,64569.4,1076.156666,0.0,9319.0,57356
4,38001,Arlington School District 38-1,"306 S Main St, Arlington, SD  57212",231.55,Kingsbury,258,0.0,0.9662,0.174,0.1227,"45,078 ",15.7,0.3274,22.9,12,166.0,60244.0,1004.0666650000001,0.0,5000.0,57212
5,21001,Armour School District 21-1,"604 3rd St, Armour, SD  57313",129.51,Douglas,167,0.0,0.9719,0.281,0.1198,"41,821 ",13.5,0.2857,21.8,11,175.0,66143.66666666667,1102.3944433333334,0.0,2940.0,57313
6,4001,Avon School District 04-1,"210 Pine St, Avon, SD  57315",179.46,Bon Homme,230,0.0,0.9708,0.374,0.1667,"43,629 ",18.0,0.2456,23.4,14,165.25,60179.25,1002.9875,0.0,6972.0,57315
7,49001,Baltic School District 49-1,"1 Bulldog Ave, Baltic, SD  57003",54.28,Minnehaha,486,0.009000000000000001,0.9696,0.158,0.1111,"45,786 ",13.1,0.4167,21.6,28,179.5,63681.0,1061.35,0.0,183660.0,57003
8,9001,Belle Fourche School District 09-1,"2305 13th Ave, Belle Fourche, SD  57717",956.93,Butte,1378,0.016,0.9524,0.459,0.1814,"44,128 ",12.0,0.3261,21.8,58,158.0,62122.4,1035.3733339999999,0.8,10194.0,57717
9,3001,Bennett County School District 03-1,"403 1st Ave, Martin, SD  57551",1190.93,Bennett,480,0.037000000000000005,0.9169,0.783,0.1475,"44,788 ",14.2,0.1405,18.9,22,149.33333333333334,62060.0,1034.3333333333333,1.0,3440.0,57551
10,61002,Beresford School District 61-2,"301 W Maple St, Beresford, SD  57004",205.09,Union,673,0.018000000000000002,0.9514,0.212,0.1248,"46,718 ",14.9,0.573,22.6,41,172.0,61186.333333333336,1019.7722233333334,0.0,14929.0,57004
11,25001,Big Stone City School District 25-1,"655 Walnut St, Big Stone City, SD  57216",20.66,Grant,80,0.05,0.9487,0.525,0.099,"41,245 ",19.3,0.2727,,0,167.0,57583.5,954.90833,0.0,7133.0,57216
12,52001,Bison School District 52-1,"200 E Carr St, Bison, SD  57620",1335.65,Perkins,152,0.0,0.949,0.362,0.1776,"47,269 ",11.8,0.0123,20.5,10,142.0,59505.333333333336,991.7555533333334,1.0,2964.0,57620
13,4002,Bon Homme School District 04-2,"1404 Fir St, Tyndall, SD  57066",316.11,Bon Homme,522,0.005,0.9671,0.383,0.1264,"41,264 ",13.8,0.2353,21.4,23,150.0,56829.333333333336,947.1555555555556,1.0,6972.0,57066
14,22001,Bowdle School District 22-1,"3083 2nd Ave, Bowdle, SD  57428",274.91,Edmunds,109,0.0,0.9625,0.358,0.1008,"40,856 ",14.9,0.0952,,3,166.0,62792.0,1046.5333333333333,0.0,3971.0,57428
15,49002,Brandon Valley School District 49-2,"300 S Splitrock Blvd, Brandon, SD  57005",126.2,Minnehaha,4019,0.003,0.9608,0.196,0.1312,"50,191 ",13.1,0.3785,23.5,208,175.0,62078.28571428572,1034.638092857143,0.0,183660.0,57005
16,30003,Bridgewater-Emery School District 30-3,"510 N Main St, Bridgewater, SD  57319",229.82,Hanson,331,0.006999999999999999,0.9547,0.341,0.1701,"40,899 ",16.5,0.2047,20.6,18,174.0,68233.66666666667,1137.22778,0.0,3404.0,57319
17,45004,Britton-Hecla School District 45-4,"759 5th St, Britton, SD  57430",661.07,Marshall,414,0.006,0.9611,0.367,0.1546,"44,005 ",15.6,0.2256,21.5,25,165.5,59937.5,998.9583349999999,0.0,4759.0,57430
18,5001,Brookings School District 05-1,"2130 8th St S, Brookings, SD  57006",193.82,Brookings,3405,0.017,0.9497,0.241,0.1677,"46,630 ",14.6,0.3865,24.4,165,173.0,62711.666666666664,1045.1944433333333,0.0,33697.0,57006
19,26002,Burke School District 26-2,"900 Washington St, Burke, SD  57523",350.46,Gregory,229,0.0,0.9598,0.441,0.1281,"48,817 ",21.8,0.2375,,8,145.0,52320.5,872.0083325,0.0,4209.0,57523
20,43001,Canistota School District 43-1,"431 4th Ave, Canistota, SD  57012",98.49,Mc Cook,209,0.0,0.9565,0.325,0.1542,"45,214 ",12.7,0.2348,20.8,11,177.0,65533.0,1092.2166666666665,0.0,5515.0,57012
21,41001,Canton School District 41-1,"800 N Main St, Canton, SD  57013",194.1,Lincoln,870,0.02,0.9661,0.252,0.1736,"44,034 ",12.1,0.2871,22.4,52,181.0,66313.75,1105.229165,0.0,53147.0,57013
22,28001,Castlewood School District 28-1,"310 E Harry St, Castlewood, SD  57223",129.87,Hamlin,282,0.008,0.9606,0.22,0.1148,"43,551 ",14.8,0.1449,22.3,20,169.0,64052.25,1067.5375,0.0,5911.0,57223
23,60001,Centerville School District 60-1,"610 Lincoln St, Centerville, SD  57014",138.78,Turner,263,0.0,0.954,0.437,0.1637,"43,029 ",13.8,0.3077,,9,171.0,62211.0,1036.8500000000001,0.0,8242.0,57014
24,7001,Chamberlain School District 07-1,"1000 Sorensen Drive, Chamberlain, SD  57325",928.68,Brule,895,0.003,0.9433,0.516,0.1218,"45,252 ",15.2,0.3488,19.8,39,171.25,61530.0,1025.5,0.0,5280.0,57325
25,39001,Chester Area School District 39-1,"102 2nd Ave, Chester, SD  57016",140.94,Lake,566,0.14400000000000002,0.9817,0.152,0.0963,"47,124 ",15.6,0.3659,21.2,17,170.0,65699.71428571429,1094.9952371428571,0.0,12350.0,57016
26,12002,Clark School District 12-2,"220 N Clinton St, Clark, SD  57225",623.98,Clark,354,0.016,0.9678,0.418,0.144,"45,059 ",16.8,0.1759,,7,163.0,59684.666666666664,994.7444450000002,0.0,3642.0,57225
27,50005,Colman-Egan School District 50-5,"200 S Loban Ave, Colman, SD  57017",161.14,Moody,244,0.0,0.9686,0.254,0.1707,"40,462 ",10.3,0.0941,19.6,15,169.0,63170.0,1052.8333366666666,0.0,6496.0,57017
28,59003,Colome Consolidated School District 59-3,"105 Carr St, Colome, SD  57528",806.48,Tripp,223,0.0,0.9394,0.525,0.1362,"40,479 ",12.6,0.1489,,7,167.0,64999.5,1083.325,0.0,5480.0,57528
29,21003,Corsica-Stickney School District 21-3,"120 S Napoleon Ave, Corsica, SD  57328",382.46,Douglas,251,0.0,0.9822,0.323,0.1493,"43,384 ",17.5,0.1261,22.0,11,173.0,65463.333333333336,1091.0555566666665,0.0,2940.0,57328
30,16001,Custer School District 16-1,"527 Montgomery St, Custer, SD  57730",1207.73,Custer,895,0.0,0.9664,0.361,0.1392,"43,325 ",13.6,0.2312,21.1,42,155.0,63127.5,1052.125,1.0,8519.0,57730
31,61008,Dakota Valley School District 61-8,"1150 Northshore Dr, North Sioux City, SD  57049",29.49,Union,1300,0.003,0.9551,0.16,0.1008,"49,908 ",11.3,0.4163,23.5,89,176.0,63562.75,1059.3791675,0.0,14929.0,57049
32,38002,De Smet School District 38-2,"405 SW 3rd Street SW, De Smet, SD  57231",312.6,Kingsbury,302,0.006999999999999999,0.9607,0.255,0.1266,"43,784 ",16.0,0.1754,20.9,25,146.5,51370.0,856.1666674999999,0.0,5000.0,57231
33,49003,Dell Rapids School District 49-3,"1216 N Garfield Ave, Dell Rapids, SD  57022",168.11,Minnehaha,933,0.0,0.9589,0.202,0.1522,"44,869 ",14.2,0.1804,22.0,57,180.66666666666666,65080.0,1084.6666666666667,0.0,183660.0,57022
34,5006,Deubrook Area School District 05-6,"100 School Ave, White, SD  57276",250.39,Brookings,363,0.006,0.9651,0.185,0.1354,"45,201 ",16.8,0.3558,23.3,11,168.0,60231.2,1003.8533300000001,0.0,33697.0,57276
35,19004,Deuel School District 19-4,"410 5th St W, Clear Lake, SD  57226",474.27,Deuel,487,0.01,0.9558,0.296,0.1771,"44,235 ",13.9,0.3511,21.5,22,151.0,62627.25,1043.7875,1.0,4282.0,57226
36,56002,Doland School District 56-2,"405 N Humphrey Dr, Doland, SD  57436",430.22,Spink,174,0.0,0.9635,0.529,0.1667,"44,728 ",11.4,0.068,,2,172.125,67740.875,1129.014585,0.875,6478.0,57436
